type,review_score,total_reviews,review_bucket
Free,0.9807126511932004,3059,1k-10k
Free,0.6764705882352942,408,200-1k
Free,0.9670781893004116,243,200-1k
Free,0.5666372462488968,1133,1k-10k
Free,0.8016085790884718,373,200-1k
Free,0.5987525987525988,4329,1k-10k
Free,0.9285714285714286,70,50-200
Free,0.9285238031737565,14998,10k+
Free,0.7142857142857143,91,50-200
Free,0.46107784431137727,1336,1k-10k
Free,0.9028571428571428,175,50-200
Free,0.5483870967741935,217,200-1k
Free,0.8666666666666667,60,50-200
Free,0.9582863585118376,887,200-1k
Free,0.6656441717791411,326,200-1k
Free,0.9730769230769231,260,200-1k
Free,0.8522727272727273,88,50-200
Free,0.8448979591836735,245,200-1k
Free,0.39344262295081966,61,50-200
Free,0.8241758241758241,91,50-200
Free,0.8596491228070176,57,50-200
Free,0.6733584809155425,15641,10k+
Free,0.9259259259259259,54,50-200
Free,0.8842832469775475,579,200-1k
Free,0.5202312138728323,173,50-200
Free,0.949685534591195,159,50-200
Free,0.8076923076923077,52,50-200
Free,0.5901639344262295,244,200-1k
Free,0.88,75,50-200
Free,0.737573309005604,38365,10k+
Free,0.555,200,200-1k
Free,0.9416342412451362,514,200-1k
Free,0.9106438896189225,761,200-1k
Free,0.834659090909091,5280,1k-10k
Free,0.6759776536312849,537,200-1k
Free,0.8762886597938144,194,50-200
Free,0.930327868852459,244,200-1k
Free,0.9701492537313433,67,50-200
Free,0.7760416666666666,384,200-1k
Free,0.9271255060728745,247,200-1k
Free,0.8292682926829268,164,50-200
Free,0.7083333333333334,216,200-1k
Free,0.7644539614561028,467,200-1k
Free,0.98,250,200-1k
Free,0.9316239316239316,351,200-1k
Free,0.8832684824902723,257,200-1k
Free,0.894257064721969,2194,1k-10k
Free,0.3879781420765027,183,50-200
Free,0.625,64,50-200
Free,0.9779850028840608,10402,10k+
Free,0.7297297297297297,111,50-200
Free,0.8933333333333333,375,200-1k
Free,0.771004942339374,607,200-1k
Free,0.24201561391057488,1409,1k-10k
Free,0.7921366419593941,3103,1k-10k
Free,0.8544600938967136,426,200-1k
Free,0.9310344827586207,203,200-1k
Free,0.46511627906976744,86,50-200
Free,0.9552341597796143,2904,1k-10k
Free,0.9,70,50-200
Free,0.7468354430379747,79,50-200
Free,0.8932496075353218,637,200-1k
Free,0.5439074200136147,4407,1k-10k
Free,0.8064516129032258,62,50-200
Free,0.9565217391304348,69,50-200
Free,0.9019607843137255,51,50-200
Free,0.4142857142857143,70,50-200
Free,0.53125,64,50-200
Free,0.4397163120567376,141,50-200
Free,0.8571428571428571,112,50-200
Free,0.8808510638297873,470,200-1k
Free,0.9426229508196722,122,50-200
Free,0.5977496483825597,711,200-1k
Free,0.977561280199811,124918,10k+
Free,0.4195804195804196,143,50-200
Free,0.92,50,50-200
Free,0.5595238095238095,84,50-200
Free,0.8712871287128713,101,50-200
Free,0.9619047619047619,105,50-200
Free,0.7710667316122747,8212,1k-10k
Free,0.9800727272727273,6875,1k-10k
Free,0.45454545454545453,66,50-200
Free,0.8628571428571429,175,50-200
Free,0.9159442140972484,5306,1k-10k
Free,0.8578016910069177,7806,1k-10k
Free,0.7565217391304347,115,50-200
Free,0.7671675860757086,5257,1k-10k
Free,0.4409221902017291,347,200-1k
Free,0.7560975609756098,246,200-1k
Free,0.9449275362318841,2415,1k-10k
Free,0.9821428571428571,56,50-200
Free,0.8938605619146722,961,200-1k
Free,0.7661498708010336,774,200-1k
Free,0.7352941176470589,272,200-1k
Free,0.8735039950618977,583220,10k+
Free,0.8636363636363636,682,200-1k
Free,0.9157894736842105,95,50-200
Free,0.9603960396039604,101,50-200
Free,0.9418604651162791,86,50-200
Free,0.8322147651006712,149,50-200
Free,0.8198198198198198,111,50-200
Free,0.9520833333333333,480,200-1k
Free,0.8947368421052632,722,200-1k
Free,0.8238532110091743,2180,1k-10k
Free,0.7868480725623582,441,200-1k
Free,0.4188034188034188,234,200-1k
Free,0.6201550387596899,129,50-200
Free,0.47415730337078654,445,200-1k
Free,0.8181818181818182,99,50-200
Free,0.6806550665301945,977,200-1k
